id,accident_risk
517754,0.295719
517755,0.121835455
517756,0.18701811
517757,0.31670338
517758,0.40365043
517759,0.45735642
517760,0.25925285
517761,0.20080684
517762,0.37101397
517763,0.33122972
517764,0.0778608
517765,0.19521087
517766,0.3062255
517767,0.2627151
517768,0.1733399
517769,0.3135006
517770,0.30607727
517771,0.31055626
517772,0.08345145
517773,0.25349283
517774,0.3683065
517775,0.6019007
517776,0.12996718
517777,0.2176963
517778,0.40798938
517779,0.28257057
517780,0.37340027
517781,0.33613694
517782,0.2896644
517783,0.3058805
517784,0.29612902
517785,0.2522576
517786,0.47186968
517787,0.34941283
517788,0.32545048
517789,0.1430347
517790,0.29346895
517791,0.30822778
517792,0.7071765
517793,0.18582606
517794,0.11290304
517795,0.307626
517796,0.12758097
517797,0.089273274
517798,0.4866506
517799,0.1557296
517800,0.30332315
517801,0.32628277
517802,0.32950425
517803,0.3169225
517804,0.29256377
517805,0.7682789
517806,0.2743551
517807,0.54169244
517808,0.4207476
517809,0.29613084
517810,0.49791002
517811,0.41613936
517812,0.36350113
517813,0.61030495
517814,0.54138637
517815,0.038492143
517816,0.5650372
517817,0.16604619
517818,0.5591558
517819,0.5770278
517820,0.31956148
517821,0.16372235
517822,0.046996832
517823,0.19327235
517824,0.12242372
517825,0.3585671
517826,0.29735893
517827,0.52434266
517828,0.6127136
517829,0.45941088
517830,0.67082214
517831,0.19568466
517832,0.19410588
517833,0.30770996
517834,0.42244053
517835,0.31198233
517836,0.35817644
517837,0.30514726
517838,0.36372462
517839,0.6310469
517840,0.41013473
517841,0.10842545
517842,0.41588995
517843,0.48972717
517844,0.12559931
517845,0.1927079
517846,0.42044282
517847,0.11347492
517848,0.48089325
517849,0.37189665
517850,0.15492347
517851,0.19064665
517852,0.106807426
517853,0.556473
517854,0.315489
517855,0.4803926
517856,0.33491328
517857,0.12902603
517858,0.23960535
517859,0.42766938
517860,0.5064119
517861,0.7516731
517862,0.5091808
517863,0.3909896
517864,0.30326506
517865,0.313073
517866,0.47478607
517867,0.49118507
517868,0.18134537
517869,0.30737415
517870,0.35715094
517871,0.4480168
517872,0.34893906
517873,0.14336842
517874,0.3921918
517875,0.18117307
517876,0.22201897
517877,0.27624056
517878,0.23977889
517879,0.36778277
517880,0.41492328
517881,0.28003845
517882,0.3521106
517883,0.08543143
517884,0.53532535
517885,0.055371165
517886,0.49187213
517887,0.5639738
517888,0.32135347
517889,0.3326478
517890,0.282524
517891,0.640551
517892,0.6142746
517893,0.15243842
517894,0.36071813
517895,0.6125842
517896,0.57182103
517897,0.29807335
517898,0.13369063
517899,0.36365163
517900,0.30647078
517901,0.32079512
517902,0.15804465
517903,0.30988044
517904,0.04266852
517905,0.36804274
517906,0.44645306
517907,0.5721497
517908,0.29233837
517909,0.05047971
517910,0.22955218
517911,0.48821598
517912,0.38918647
517913,0.3593455
517914,0.71603066
517915,0.1546517
517916,0.5157989
517917,0.31803906
517918,0.34504706
517919,0.5371389
517920,0.15513828
517921,0.3033278
517922,0.42751348
517923,0.7163074
517924,0.31743792
517925,0.31280765
517926,0.14920273
517927,0.6471355
517928,0.23911208
517929,0.45843586
517930,0.2691262
517931,0.3574012
517932,0.32260516
517933,0.3745413
517934,0.64819455
517935,0.17714095
517936,0.6879748
517937,0.30408838
517938,0.47306177
517939,0.4727503
517940,0.4200158
517941,0.46510887
517942,0.33091354
517943,0.3046387
517944,0.042370617
517945,0.30467293
517946,0.0930295
517947,0.47043395
517948,0.5782516
517949,0.30316842
517950,0.13024361
517951,0.34263885
517952,0.3530766
517953,0.38739234
517954,0.30922705
517955,0.46508545
517956,0.24097602
517957,0.34052163
517958,0.6617357
517959,0.22234832
517960,0.1327534
517961,0.66653633
517962,0.32044446
517963,0.13897076
517964,0.49326771
517965,0.34464744
517966,0.063718855
517967,0.18889184
517968,0.71945417
517969,0.6369449
517970,0.29462996
517971,0.27660578
517972,0.35782358
517973,0.32175648
517974,0.45259818
517975,0.4681148
517976,0.31137064
517977,0.047597587
517978,0.261571
517979,0.3826646
517980,0.27081326
517981,0.072114766
517982,0.33401543
517983,0.27922547
517984,0.11449933
517985,0.22345792
517986,0.18810815
517987,0.26334068
517988,0.18232322
517989,0.6882909
517990,0.25520667
517991,0.24431701
517992,0.33174846
517993,0.6419068
517994,0.041090637
517995,0.5315983
517996,0.43595845
517997,0.49313313
517998,0.24877639
517999,0.31007698
518000,0.49421436
518001,0.3600752
518002,0.36762932
518003,0.531766
518004,0.46819305
518005,0.2912059
518006,0.35945675
518007,0.44400522
518008,0.16839087
518009,0.48682082
518010,0.67591125
518011,0.4623686
518012,0.22106335
518013,0.4215647
518014,0.3616912
518015,0.043593526
518016,0.18981797
518017,0.36583006
518018,0.4671554
518019,0.36542806
518020,0.6354896
518021,0.15002531
518022,0.38978302
518023,0.39516062
518024,0.13188496
518025,0.11478494
518026,0.19278376
518027,0.5380743
518028,0.33689407
518029,0.26023614
518030,0.6914167
518031,0.7067656
518032,0.2500606
518033,0.35128248
518034,0.293009
518035,0.3026202
518036,0.4972381
518037,0.1299563
518038,0.15104991
518039,0.28775588
518040,0.416107
518041,0.38767973
518042,0.25902164
518043,0.3263586
518044,0.41975453
518045,0.35383123
518046,0.13674183
518047,0.3608788
518048,0.3703101
518049,0.22902295
518050,0.41499704
518051,0.12930223
518052,0.3553614
518053,0.3285854
518054,0.26580554
518055,0.3046209
518056,0.41495577
518057,0.10865483
518058,0.29494882
518059,0.283011
518060,0.32421306
518061,0.339318
518062,0.6462474
518063,0.43115366
518064,0.14153768
518065,0.31789738
518066,0.19532064
518067,0.3152976
518068,0.7012323
518069,0.15092757
518070,0.49875426
518071,0.17380458
518072,0.5426301
518073,0.30388463
518074,0.4138253
518075,0.5463358
518076,0.16579491
518077,0.2172556
518078,0.2640298
518079,0.51606244
518080,0.37871265
518081,0.6427432
518082,0.26369566
518083,0.30830175
518084,0.35969818
518085,0.16035315
518086,0.28503865
518087,0.29317147
518088,0.3730999
518089,0.41042924
518090,0.47923496
518091,0.30823314
518092,0.3193482
518093,0.15128392
518094,0.49488
518095,0.1636261
518096,0.32631204
518097,0.2810712
518098,0.5496816
518099,0.45220158
518100,0.3074848
518101,0.31224295
518102,0.23667073
518103,0.15505648
518104,0.35370275
518105,0.27635965
518106,0.46774983
518107,0.57397115
518108,0.6264364
518109,0.33959523
518110,0.23786719
518111,0.11281188
518112,0.3221713
518113,0.19889122
518114,0.4903968
518115,0.2933857
518116,0.47691435
518117,0.54938555
518118,0.38899678
518119,0.35766366
518120,0.08396748
518121,0.4789158
518122,0.3403215
518123,0.49442285
518124,0.5573301
518125,0.15372084
518126,0.18945278
518127,0.15168223
518128,0.15011929
518129,0.27078596
518130,0.300386
518131,0.3305477
518132,0.22698984
518133,0.31096157
518134,0.42873544
518135,0.17884187
518136,0.47135672
518137,0.23679584
518138,0.22982222
518139,0.58281386
518140,0.29662853
518141,0.6297679
518142,0.22283679
518143,0.21944496
518144,0.36493787
518145,0.48245484
518146,0.30001834
518147,0.31300247
518148,0.2981558
518149,0.5522153
518150,0.28352737
518151,0.3850258
518152,0.1260112
518153,0.34647077
518154,0.22115889
518155,0.3106388
518156,0.2241784
518157,0.32506424
518158,0.43961698
518159,0.13864632
518160,0.46587378
518161,0.53277874
518162,0.51179343
518163,0.33000198
518164,0.4454906
518165,0.07674894
518166,0.30017537
518167,0.22023854
518168,0.41754377
518169,0.2996867
518170,0.2883547
518171,0.20260842
518172,0.12443766
518173,0.43483126
518174,0.32518035
518175,0.28495345
518176,0.2699197
518177,0.28736147
518178,0.33210087
518179,0.49755514
518180,0.24541524
518181,0.47168225
518182,0.44746006
518183,0.24959385
518184,0.48610193
518185,0.4773864
518186,0.29608724
518187,0.6005495
518188,0.4134575
518189,0.42980745
518190,0.23446155
518191,0.45955414
518192,0.6186925
518193,0.36466146
518194,0.6992902
518195,0.38467216
518196,0.22258694
518197,0.18908063
518198,0.6349299
518199,0.65205216
518200,0.1457024
518201,0.31260926
518202,0.17485693
518203,0.64818066
518204,0.14349549
518205,0.19510259
518206,0.18968588
518207,0.49692276
518208,0.31468105
518209,0.34514448
518210,0.3333126
518211,0.32862785
518212,0.45801032
518213,0.45129657
518214,0.2774698
518215,0.37400693
518216,0.5785394
518217,0.08939898
518218,0.47921306
518219,0.17758977
518220,0.35779965
518221,0.18412378
518222,0.3637088
518223,0.1334077
518224,0.54634285
518225,0.5883386
518226,0.048152775
518227,0.26255164
518228,0.27677062
518229,0.21088253
518230,0.2340605
518231,0.10875495
518232,0.3900707
518233,0.30677792
518234,0.33913812
518235,0.3873826
518236,0.12909298
518237,0.29630512
518238,0.42048234
518239,0.2364006
518240,0.66091365
518241,0.55411977
518242,0.21127334
518243,0.27464256
518244,0.5559857
518245,0.46924365
518246,0.25441837
518247,0.22753258
518248,0.31082654
518249,0.2704611
518250,0.1978238
518251,0.3867453
518252,0.2379485
518253,0.14880553
518254,0.37028503
518255,0.2865827
518256,0.54659534
518257,0.20990585
518258,0.33502927
518259,0.15978402
518260,0.33099788
518261,0.4184908
518262,0.30826986
518263,0.3135717
518264,0.38027972
518265,0.39395618
518266,0.60854185
518267,0.32600504
518268,0.28933087
518269,0.3610035
518270,0.2983678
518271,0.4544423
518272,0.41345865
518273,0.3079522
518274,0.36285186
518275,0.5167113
518276,0.26943508
518277,0.3679979
518278,0.21928926
518279,0.26973677
518280,0.47102103
518281,0.33082527
518282,0.5505653
518283,0.25574198
518284,0.30242315
518285,0.27153432
518286,0.05691862
518287,0.32976568
518288,0.23513696
518289,0.4776083
518290,0.30522493
518291,0.12677515
518292,0.19115673
518293,0.12527013
518294,0.26296794
518295,0.35446784
518296,0.5561923
518297,0.3072947
518298,0.516912
518299,0.23649615
518300,0.25091875
518301,0.20392314
518302,0.31577864
518303,0.42483833
518304,0.1279784
518305,0.4116113
518306,0.28899541
518307,0.5695379
518308,0.115443006
518309,0.3874759
518310,0.3187436
518311,0.3064888
518312,0.3339479
518313,0.18228051
518314,0.327038
518315,0.2255633
518316,0.26927906
518317,0.3754979
518318,0.49739492
518319,0.4807995
518320,0.44921273
518321,0.30064112
518322,0.16460428
518323,0.35611677
518324,0.24033755
518325,0.5331188
518326,0.3248919
518327,0.5280234
518328,0.12796898
518329,0.59960777
518330,0.16405645
518331,0.34405142
518332,0.47822255
518333,0.24146745
518334,0.21614935
518335,0.3536278
518336,0.3211225
518337,0.16540517
518338,0.3336985
518339,0.21943972
518340,0.5673312
518341,0.499558
518342,0.36493647
518343,0.41180983
518344,0.21759892
518345,0.34850258
518346,0.36992952
518347,0.2954166
518348,0.29564476
518349,0.3086309
518350,0.3681717
518351,0.43263173
518352,0.4722094
518353,0.4465094
518354,0.36085686
518355,0.5967791
518356,0.6429049
518357,0.29007766
518358,0.18455277
518359,0.26603404
518360,0.56843007
518361,0.39746106
518362,0.2397603
518363,0.37778702
518364,0.38699466
518365,0.31723854
518366,0.46053857
518367,0.47338697
518368,0.5098014
518369,0.50157964
518370,0.28523853
518371,0.28842244
518372,0.64399904
518373,0.20881996
518374,0.38580546
518375,0.5551411
518376,0.24647476
518377,0.29629472
518378,0.22169824
518379,0.38629776
518380,0.43073106
518381,0.22132574
518382,0.5764068
518383,0.5575284
518384,0.2064964
518385,0.37714982
518386,0.2762847
518387,0.09401843
518388,0.3480114
518389,0.353859
518390,0.4770862
518391,0.300008
518392,0.36696795
518393,0.18844813
518394,0.0801965
518395,0.6372859
518396,0.51334876
518397,0.5510645
518398,0.16951406
518399,0.27919888
518400,0.2548651
518401,0.1353439
518402,0.36770555
518403,0.37106764
518404,0.30531788
518405,0.49117884
518406,0.38466078
518407,0.31070274
518408,0.15355405
518409,0.30564627
518410,0.3480192
518411,0.6699482
518412,0.35481155
518413,0.1732783
518414,0.46368656
518415,0.15351753
518416,0.16119263
518417,0.734534
518418,0.32599217
518419,0.3320349
518420,0.3235801
518421,0.23877087
518422,0.31879812
518423,0.34832767
518424,0.07375288
518425,0.29279068
518426,0.2944212
518427,0.4688945
518428,0.104177445
518429,0.22426404
518430,0.31406224
518431,0.29258054
518432,0.6354935
518433,0.24359006
518434,0.30549943
518435,0.38401565
518436,0.5605592
518437,0.34322023
518438,0.48106796
518439,0.16296238
518440,0.22843143
518441,0.39423695
518442,0.39185733
518443,0.31430826
518444,0.73110497
518445,0.17069906
518446,0.31044602
518447,0.48140776
518448,0.28375036
518449,0.44613844
518450,0.1882113
518451,0.43834996
518452,0.5900534
518453,0.53968215
518454,0.42926636
518455,0.5731541
518456,0.29598275
518457,0.6537008
518458,0.5454746
518459,0.044819653
518460,0.66544914
518461,0.13009742
518462,0.18168125
518463,0.38867545
518464,0.6015605
518465,0.31804752
518466,0.3613355
518467,0.33227828
518468,0.70801777
518469,0.40016615
518470,0.23527461
518471,0.30387586
518472,0.29354474
518473,0.1713038
518474,0.32608196
518475,0.114940956
518476,0.2745178
518477,0.4238304
518478,0.39506358
518479,0.17594191
518480,0.44260794
518481,0.49615932
518482,0.34030214
518483,0.47746688
518484,0.3066636
518485,0.19688179
518486,0.40882754
518487,0.5369573
518488,0.14585991
518489,0.22188345
518490,0.22837609
518491,0.51140183
518492,0.29141906
518493,0.23467213
518494,0.11134556
518495,0.23497127
518496,0.21352568
518497,0.4146144
518498,0.23344143
518499,0.11108422
518500,0.283415
518501,0.5470092
518502,0.13437583
518503,0.43229234
518504,0.46083945
518505,0.14862405
518506,0.36046916
518507,0.5295399
518508,0.2836377
518509,0.25747985
518510,0.13584825
518511,0.5345559
518512,0.13190879
518513,0.32610708
518514,0.29014584
518515,0.21540132
518516,0.12840807
518517,0.36591858
518518,0.3347939
518519,0.15281193
518520,0.58149546
518521,0.20101173
518522,0.15293644
518523,0.5640999
518524,0.22132699
518525,0.2642937
518526,0.42079198
518527,0.35100123
518528,0.5294726
518529,0.24890542
518530,0.3572668
518531,0.19484377
518532,0.28080866
518533,0.17186397
518534,0.57346034
518535,0.29424328
518536,0.38420138
518537,0.31020615
518538,0.44534573
518539,0.59378827
518540,0.45939085
518541,0.4937415
518542,0.07089397
518543,0.25491348
518544,0.07692698
518545,0.32572025
518546,0.35166073
518547,0.0985997
518548,0.36769766
518549,0.22713491
518550,0.088516414
518551,0.3209141
518552,0.5288372
518553,0.4988762
518554,0.46596763
518555,0.6338778
518556,0.3527715
518557,0.2436417
518558,0.41249856
518559,0.21412235
518560,0.2762448
518561,0.12004492
518562,0.24383846
518563,0.54531235
518564,0.28842792
518565,0.2944653
518566,0.4451022
518567,0.3029427
518568,0.23495945
518569,0.6383954
518570,0.3939254
518571,0.16929834
518572,0.3785985
518573,0.3401496
518574,0.6270164
518575,0.31996316
518576,0.4177413
518577,0.3451099
518578,0.33718088
518579,0.36793447
518580,0.420812
518581,0.36482802
518582,0.12837742
518583,0.20862679
518584,0.2523946
518585,0.21297278
518586,0.66096306
518587,0.24087662
518588,0.62710357
518589,0.26736364
518590,0.70163935
518591,0.6048
518592,0.56193185
518593,0.44012073
518594,0.50076675
518595,0.3595497
518596,0.37453127
518597,0.21785554
518598,0.5512047
518599,0.16475832
518600,0.53942585
518601,0.34341082
518602,0.37445524
518603,0.40739578
518604,0.12964688
518605,0.42353123
518606,0.28962478
518607,0.4912079
518608,0.22421426
518609,0.16745977
518610,0.29733318
518611,0.28576165
518612,0.5469414
518613,0.1359963
518614,0.20631728
518615,0.31191078
518616,0.70351726
518617,0.3361453
518618,0.16335192
518619,0.30597982
518620,0.05430317
518621,0.48595732
518622,0.2575241
518623,0.30048084
518624,0.3014037
518625,0.18150121
518626,0.32627892
518627,0.1272836
518628,0.3301206
518629,0.3691502
518630,0.6772789
518631,0.108560875
518632,0.31640348
518633,0.13040611
518634,0.68310237
518635,0.0946669
518636,0.2639774
518637,0.31068856
518638,0.14011231
518639,0.5058223
518640,0.557127
518641,0.11088182
518642,0.17192309
518643,0.3424087
518644,0.63919705
518645,0.24907546
518646,0.19922116
518647,0.082081825
518648,0.2325109
518649,0.43741748
518650,0.44898373
518651,0.31803954
518652,0.35073385
518653,0.18253018
518654,0.4124525
518655,0.36799002
518656,0.40594137
518657,0.12808065
518658,0.14853267
518659,0.731426
518660,0.3183521
518661,0.24245277
518662,0.16870926
518663,0.3051901
518664,0.37428835
518665,0.3680612
518666,0.14008825
518667,0.6399485
518668,0.38282922
518669,0.3208028
518670,0.43787006
518671,0.49680468
518672,0.608002
518673,0.36388037
518674,0.10724354
518675,0.3392476
518676,0.27592275
518677,0.13143197
518678,0.2209493
518679,0.31682795
518680,0.3597227
518681,0.46999335
518682,0.23973328
518683,0.3653766
518684,0.5776398
518685,0.32543695
518686,0.22166507
518687,0.4600938
518688,0.049580693
518689,0.2680702
518690,0.26240927
518691,0.41301522
518692,0.20371892
518693,0.4686799
518694,0.18207783
518695,0.17560403
518696,0.16330026
518697,0.2813644
518698,0.27924496
518699,0.52872455
518700,0.27514303
518701,0.41398808
518702,0.36377034
518703,0.18552545
518704,0.3643196
518705,0.54075104
518706,0.45387623
518707,0.3421062
518708,0.22521919
518709,0.12142727
518710,0.48325992
518711,0.3901541
518712,0.13124686
518713,0.18737133
518714,0.29267523
518715,0.6048783
518716,0.27746725
518717,0.058158696
518718,0.21927749
518719,0.33374453
518720,0.3381176
518721,0.64669764
518722,0.36531723
518723,0.2508573
518724,0.44052458
518725,0.12577839
518726,0.3203044
518727,0.20868851
518728,0.35328925
518729,0.3624735
518730,0.35024434
518731,0.530769
518732,0.5269331
518733,0.058776885
518734,0.61809134
518735,0.50144386
518736,0.18530211
518737,0.5998342
518738,0.24053526
518739,0.39197293
518740,0.64619815
518741,0.64979255
518742,0.15123524
518743,0.38086802
518744,0.21794455
518745,0.55978787
518746,0.47145534
518747,0.24774386
518748,0.430448
518749,0.3371082
518750,0.22534415
518751,0.23919052
518752,0.12983459
518753,0.47418222
518754,0.6505168
518755,0.1270154
518756,0.32607928
518757,0.18936707
518758,0.49841067
518759,0.30607226
518760,0.14508738
518761,0.29595956
518762,0.40165183
518763,0.046490014
518764,0.29631063
518765,0.3002544
518766,0.45031592
518767,0.33658376
518768,0.26073658
518769,0.31135118
518770,0.4919509
518771,0.18500613
518772,0.1520382
518773,0.3003384
518774,0.07144895
518775,0.3654197
518776,0.5276244
518777,0.55081916
518778,0.31111732
518779,0.28852347
518780,0.11178821
518781,0.4990298
518782,0.2601406
518783,0.28285486
518784,0.24966481
518785,0.5430693
518786,0.29603112
518787,0.21066082
518788,0.31025857
518789,0.83655643
518790,0.4089994
518791,0.1702221
518792,0.1079783
518793,0.53681594
518794,0.515635
518795,0.36806753
518796,0.37029707
518797,0.28643808
518798,0.06525579
518799,0.18051085
518800,0.5581196
518801,0.3905375
518802,0.31258333
518803,0.7358882
518804,0.28083917
518805,0.32928035
518806,0.32607666
518807,0.2606867
518808,0.041514248
518809,0.62313724
518810,0.333091
518811,0.3744486
518812,0.3072513
518813,0.389057
518814,0.5669849
518815,0.24303585
518816,0.4899389
518817,0.5492255
518818,0.4998287
518819,0.19809262
518820,0.30313307
518821,0.3093438
518822,0.42071554
518823,0.3308613
518824,0.77796054
518825,0.3994328
518826,0.18044567
518827,0.30420792
518828,0.1891782
518829,0.27140725
518830,0.18573393
518831,0.2647596
518832,0.19405484
518833,0.71780205
518834,0.36662608
518835,0.6226232
518836,0.4128022
518837,0.44081905
518838,0.12768365
518839,0.47005963
518840,0.33063674
518841,0.46699703
518842,0.39966246
518843,0.8226272
518844,0.30667508
518845,0.24080761
518846,0.35259527
518847,0.27860805
518848,0.3419548
518849,0.18250105
518850,0.41919893
518851,0.51285785
518852,0.3443992
518853,0.37154096
518854,0.28979814
518855,0.4764402
518856,0.11097482
518857,0.6180979
518858,0.28748658
518859,0.30887818
518860,0.36482748
518861,0.42099786
518862,0.3690442
518863,0.26443058
518864,0.34798542
518865,0.461028
518866,0.17310609
518867,0.33062243
518868,0.48333943
518869,0.29111856
518870,0.41482964
518871,0.20474064
518872,0.5680998
518873,0.40854058
518874,0.4575557
518875,0.5599011
518876,0.73373175
518877,0.41377014
518878,0.500057
518879,0.728793
518880,0.50515574
518881,0.33336246
518882,0.6392894
518883,0.41187805
518884,0.36138362
518885,0.22200043
518886,0.13133194
518887,0.30627814
518888,0.3315179
518889,0.47127548
518890,0.4178072
518891,0.39550406
518892,0.30640522
518893,0.17229925
518894,0.5852469
518895,0.47977817
518896,0.6629472
518897,0.24764237
518898,0.3624073
518899,0.52631485
518900,0.1856196
518901,0.5910942
518902,0.35504606
518903,0.5774612
518904,0.38552082
518905,0.2738761
518906,0.6481799
518907,0.2920531
518908,0.47568938
518909,0.2988332
518910,0.45635045
518911,0.41896644
518912,0.52535844
518913,0.46950457
518914,0.26536953
518915,0.36943606
518916,0.71352404
518917,0.3733456
518918,0.31814182
518919,0.089532495
518920,0.14023973
518921,0.22049622
518922,0.10956766
518923,0.5139416
518924,0.26871476
518925,0.13253093
518926,0.25509125
518927,0.27422503
518928,0.44410568
518929,0.18022329
518930,0.30457765
518931,0.5807868
518932,0.47865427
518933,0.33451635
518934,0.32852092
518935,0.4036137
518936,0.5489056
518937,0.21455199
518938,0.2530376
518939,0.31379384
518940,0.47666585
518941,0.57171005
518942,0.5014166
518943,0.11151452
518944,0.18869253
518945,0.29076666
518946,0.19354723
518947,0.41077104
518948,0.2963207
518949,0.48292893
518950,0.29548013
518951,0.11285925
518952,0.082277566
518953,0.12409733
518954,0.26209268
518955,0.27124286
518956,0.068142384
518957,0.5010375
518958,0.43958223
518959,0.08016959
518960,0.24554172
518961,0.54541713
518962,0.22483248
518963,0.23650482
518964,0.29177272
518965,0.5063735
518966,0.305696
518967,0.29562187
518968,0.25570643
518969,0.34147853
518970,0.21704145
518971,0.82144105
518972,0.34547448
518973,0.3259489
518974,0.41151464
518975,0.24533866
518976,0.41730508
518977,0.35999322
518978,0.2331379
518979,0.44878376
518980,0.089722544
518981,0.3147502
518982,0.33129767
518983,0.44134745
518984,0.20524694
518985,0.36227196
518986,0.062907815
518987,0.2815053
518988,0.16148673
518989,0.16926064
518990,0.4510904
518991,0.35049498
518992,0.47501087
518993,0.31837997
518994,0.7371714
518995,0.49841034
518996,0.3563317
518997,0.2977743
518998,0.5020626
518999,0.41611314
519000,0.42484623
519001,0.3635513
519002,0.19237038
519003,0.45421705
519004,0.1507467
519005,0.4127349
519006,0.3524424
519007,0.4398395
519008,0.2702731
519009,0.5006672
519010,0.46994042
519011,0.27212116
519012,0.49430978
519013,0.33616698
519014,0.47861797
519015,0.52260566
519016,0.53125787
519017,0.69764715
519018,0.28710434
519019,0.36037147
519020,0.35050872
519021,0.39694083
519022,0.27079988
519023,0.20848446
519024,0.50939846
519025,0.4812539
519026,0.2202039
519027,0.27819076
519028,0.6322721
519029,0.363266
519030,0.22285768
519031,0.47508729
519032,0.23454258
519033,0.19443715
519034,0.1933073
519035,0.22975592
519036,0.17731115
519037,0.37245694
519038,0.41873103
519039,0.2540239
519040,0.3897882
519041,0.39353195
519042,0.29967666
519043,0.41112262
519044,0.37598118
519045,0.3309658
519046,0.49354643
519047,0.31096828
519048,0.29448968
519049,0.41758978
519050,0.18323654
519051,0.25923726
519052,0.24038935
519053,0.35602605
519054,0.41262996
519055,0.37619206
519056,0.3911627
519057,0.081719846
519058,0.28688493
519059,0.417085
519060,0.32073075
519061,0.4621618
519062,0.3080705
519063,0.30362383
519064,0.35117418
519065,0.37322375
519066,0.30030432
519067,0.26679868
519068,0.43294483
519069,0.22154576
519070,0.36069402
519071,0.12308909
519072,0.27632993
519073,0.26442707
519074,0.4446505
519075,0.4205966
519076,0.46212703
519077,0.27471846
519078,0.39579576
519079,0.15828407
519080,0.27236906
519081,0.4052863
519082,0.36862203
519083,0.40389046
519084,0.30580434
519085,0.28076857
519086,0.44798887
519087,0.367036
519088,0.30702993
519089,0.4901933
519090,0.32981694
519091,0.3889689
519092,0.29096025
519093,0.30722764
519094,0.5147724
519095,0.13776062
519096,0.3117324
519097,0.26882166
519098,0.15837935
519099,0.42331254
519100,0.18622722
519101,0.27433768
519102,0.44823
519103,0.22230348
519104,0.5987267
519105,0.25321934
519106,0.07939947
519107,0.17527728
519108,0.39548823
519109,0.8069482
519110,0.3707269
519111,0.4703678
519112,0.39837536
519113,0.13910629
519114,0.3122396
519115,0.17864205
519116,0.14559646
519117,0.17549706
519118,0.21827692
519119,0.38019198
519120,0.59585494
519121,0.47047672
519122,0.37065718
519123,0.16965692
519124,0.53018224
519125,0.55714965
519126,0.31822005
519127,0.27411282
519128,0.110617936
519129,0.09267211
519130,0.5543631
519131,0.28850505
519132,0.13044986
519133,0.2758575
519134,0.1109705
519135,0.20162807
519136,0.35700217
519137,0.28707936
519138,0.58924806
519139,0.3374223
519140,0.3521248
519141,0.37276796
519142,0.20568642
519143,0.34656706
519144,0.3413466
519145,0.30887932
519146,0.124513075
519147,0.3634809
519148,0.29054293
519149,0.27877736
519150,0.20958936
519151,0.24384873
519152,0.7581535
519153,0.25989425
519154,0.09072673
519155,0.15624163
519156,0.119248256
519157,0.3085778
519158,0.22478445
519159,0.35259977
519160,0.37196326
519161,0.37713668
519162,0.41301852
519163,0.35070547
519164,0.25345576
519165,0.4833712
519166,0.45244068
519167,0.1541729
519168,0.17829187
519169,0.34848306
519170,0.2664377
519171,0.5001876
519172,0.28626043
519173,0.40829983
519174,0.4570721
519175,0.49883187
519176,0.6457367
519177,0.49649042
519178,0.10661088
519179,0.305172
519180,0.64422715
519181,0.052337676
519182,0.4843055
519183,0.27649343
519184,0.28546154
519185,0.38519993
519186,0.11191353
519187,0.35686994
519188,0.29236984
519189,0.2941119
519190,0.4264473
519191,0.20707238
519192,0.40172806
519193,0.3556642
519194,0.25434095
519195,0.729012
519196,0.24290803
519197,0.44201207
519198,0.3037219
519199,0.34866887
519200,0.24094673
519201,0.37559918
519202,0.53706396
519203,0.45626178
519204,0.099505216
519205,0.13199544
519206,0.30630153
519207,0.6362233
519208,0.21148495
519209,0.40758413
519210,0.25154337
519211,0.52200294
519212,0.5665475
519213,0.37839445
519214,0.56966317
519215,0.44865444
